5,samr_dissect_element_DomGeneralInformation_num_groups,1,0,0,1.1842,groups,5
2,allocate,9,0,0,1.1831,allocate,2
5,is_memcache_request_or_reply,1,0,0,1.1818,memcache,2
2,mysql_rm_arc_files,2,0,0,1.1739,rm,3
4,gegl_node_get_input_proxy,4,0,0,1.1719,proxy,4
5,follow_tcp_addr,1,0,0,1.1685,addr,5
4,fread,325,97,366,1.1681,fread,3
2,el_wgets,1,0,0,1.1667,gets,3
5,dissect_network_switch,1,0,0,1.1667,network,3
5,samr_dissect_element_DomGeneralInformation2_lockout_duration,1,0,0,1.1667,duration,3
5,samr_dissect_element_DomGeneralInformation_force_logoff_time,1,0,0,1.1628,force,5
2,hp_find_named_heap,4,0,0,1.1613,named,4
5,inflateInit2_,5,0,0,1.1538,it2,3
0,piped_log_spawn,2,0,0,1.1429,spawn,2
3,estimate_rel_size,3,0,0,1.1429,estimate,4
5,dissect_dcerpc_uint16,317,6,12,1.1429,uint16,2
5,dissect_bssap_location_information_age,2,0,0,1.1429,age,4
2,event_class_dispatch,2,0,0,1.1364,dispatch,5
3,queue_listen,3,0,0,1.1364,listen,5
5,CFReadStreamOpen,2,0,0,1.1334,open,5
4,ffunc_inv,2,0,0,1.1281,v,5
0,apr_filepath_merge,16,0,0,1.125,filepath,3
2,reset_offset_limit_cnt,1,0,0,1.125,cnt,3
4,__builtin_va_start,71,0,0,1.1217,start,5
5,dissect_sockaddr_in,2,0,0,1.1186,sockaddr,3
2,btr_rec_copy_externally_stored_field,6,2,8,1.1111,externally,1
2,inline_mysql_rwlock_register,7,0,0,1.1111,rwlock,2
1,apr_allocator_owner_set,2,0,0,1.1064,owner,5
3,validate_exec,3,0,0,1.0969,exec,5
4,gimp_brush_pipe_class_init,1,0,0,1.0945,pipe,5
4,feof,105,2,6,1.0909,feof,3
1,create_comparison_candidates,4,0,0,1.0714,candidates,3
4,mmap,2,0,0,1.0714,mmap,5
5,add_decode_as,2,0,0,1.0714,decode,5
3,wait_result_to_str,3,1,4,1.0705,result,4
0,ap_pass_brigade,134,8,30,1.0606,pass,5
3,HeapTupleHeaderAdvanceLatestRemovedXid,4,2,4,1.05,latest,3
5,dissect_basic_switch,1,0,0,1.0484,basic,5
2,MultiplyRecursionLimit,2,0,0,1.0317,limit,5
2,read_buf,1,0,0,1.0231,read,5
5,raw_pipe_read,1,6,24,1.0222,raw,4
5,dissect_gas_initial_request,1,0,0,1.0156,initial,5
5,profile_exists,4,2,8,1.0148,exists,5
0,getgrnam,2,1,3,1,getgrnam,1
0,ap_fputstrs,5,1,4,1,trs,1
0,check_pipeline,1,0,0,1,pipeline,1
0,SSLv3_client_method,2,0,0,1,sslv3,1
0,ssl_dh_GetParamFromFile,1,0,0,1,getparam,1
0,chroot,2,2,8,1,chroot,1
1,assemble_history,6,0,0,1,assemble,1
1,svn_uri_condense_targets,4,0,0,1,targets,3
1,already_in_a_tree_conflict,1,0,0,1,already,2
1,dav_get_locktoken_list,1,0,0,1,locktoken,1
2,GetID,5,0,0,1,getid,1
2,ftruncate,5,1,4,1,ftruncate,2
2,append_ident,14,0,0,1,ident,3
2,fts_ast_term_set_wildcard,2,0,0,1,wildcard,1
2,row_vers_must_preserve_del_marked,1,0,0,1,marked,1
2,mi_collect_stats_nonulls_next,2,0,0,1,nulls,2
2,disjoint,1,0,0,1,disjoint,1
2,add_operands_to_op,2,0,0,1,operands,1
2,do_sj_dups_weedout,2,0,0,1,dups,1
2,get_best_combination,1,0,0,1,combination,2
2,is_table_renamed,10,0,0,1,renamed,1
2,initgroups,1,0,0,1,initgroups,1
2,get_least_occupied_worker,2,0,0,1,least,2
3,doabbr,6,0,0,1,abbr,1
3,tbm_add_tuples,9,0,0,1,tuples,2
3,examine_attribute,3,0,0,1,examine,1
3,does_not_exist_skipping,1,0,0,1,does,1
3,getsockopt,4,0,0,1,getsockopt,1
3,reparameterize_path,1,0,0,1,parameterize,1
3,hlCover,3,0,0,1,cover,1
3,calc_rank_or,2,1,3,1,rank,2
4,find_empty_segs,3,0,0,1,segs,1
4,tan,11,0,0,1,tan,2
4,extract_from_inten_pixels,1,0,0,1,ten,1
4,gimp_datafiles_read_directories,13,0,0,1,directories,3
