Software,Function name,Called time,Log time,Log Level,Weight,Keyword
4,gimp_plug_in_new,3,3,8,0.0449,in
4,gimp_plug_in_open,3,0,0,0.7729,open
4,g_error_new,8,0,0,0.1084,error
4,gimp_plug_in_error_quark,13,2,5,0.1084,error
4,gimp_get_display_ID,1,0,0,0.3375,id
4,gimp_plug_in_shm_get_ID,1,0,0,0.5680,shm
4,gimp_composite_use_cpu_accel,1,0,0,0.2887,use
4,g_get_application_name,1,0,0,0.2880,name
4,gimp_get_program_class,1,0,0,0.5455,program
4,gimp_get_display_name,1,0,0,0.2880,name
4,gimp_get_user_time,1,0,0,0.1852,get
4,gp_config_write,1,2,6,0.4677,config
4,gp_proc_run_write,2,0,0,0.7248,proc
4,gimp_plug_in_proc_frame_get_return_values,2,0,0,0.7248,proc
4,gimp_plug_in_proc_frame_push,1,0,0,0.7248,proc
4,gp_temp_proc_run_write,1,1,4,0.7248,proc
4,gimp_plug_in_proc_frame_ref,1,0,0,0.7248,proc
4,gimp_plug_in_main_loop,1,0,0,0.0816,loop
4,gimp_plug_in_procedure_set_file_proc,4,0,0,0.7248,proc
4,file_procedure_in_group,1,0,0,0.6046,file
4,gimp_plug_in_procedure_set_mime_type,4,0,0,0.6486,mime
4,gimp_plug_in_procedure_set_thumb_loader,2,0,0,0.0711,set
4,file_procedure_find,15,2,5,0.6046,file
4,g_slist_nth_data,12,0,0,0.3153,nth
4,gimp_plug_in_manager_history_size,3,2,6,0.3045,history
4,g_slist_nth,3,0,0,0.3153,nth
4,g_slist_remove_link,1,0,0,0.2695,link
4,gimp_plug_in_manager_history_changed,3,0,0,0.3045,history
4,gimp_locale_directory,169,0,0,0.4639,locale
4,plug_in_menu_path_map,2,0,0,0.3161,path
4,g_signal_emit_by_name,10,0,0,0.6052,by
4,gimp_strip_uline,10,0,0,0.1389,strip
4,match_string,8,0,0,0.4243,match
4,gimp_plug_in_manager_search,1,0,0,0.5732,search
4,gimp_plug_in_manager_get_pluginrc,1,0,0,0.1852,get
4,gimp_plug_in_manager_read_pluginrc,1,0,0,0.5791,read
4,gimp_plug_in_manager_query_new,1,0,0,0.4998,query
4,gimp_plug_in_manager_init_plug_ins,1,0,0,0.2400,ins
4,gimp_plug_in_manager_add_procedure,3,0,0,0.0449,in
4,plug_in_rc_write,1,1,2,0.2545,write
