19.2672,20.5105,17.8591,14.5490,12.7192,11.2157,10.0511,9.0818,8.4571,
44.0649,29.6656,22.1916,18.4044,15.7397,13.7053,12.3367,11.2795,10.7061,
16.6193,21.9080,17.0338,13.3376,12.1480,11.5858,11.0338,10.2026,9.3601,
72.8281,44.9058,32.5208,25.3346,20.8965,18.0234,15.8757,14.5168,14.6177,
97.1779,57.9347,41.0200,33.9029,28.2766,24.6124,21.6677,19.7258,17.8886,
87.1584,49.5311,35.0205,26.9378,23.3371,19.7945,17.4058,15.5277,13.9465,

5.9466,19.7048,16.9975,14.9971,12.9140,11.3617,10.1164,9.1351,8.4622,
17.9937,31.2069,24.1833,19.2200,16.2048,14.1790,12.7009,11.4950,10.7616,
18.9267,22.4029,17.1173,14.0131,12.4409,11.5533,11.0406,10.1977,9.3612,
71.8073,46.2962,34.2922,26.7174,21.9428,18.8249,16.5103,15.0805,14.6665,
98.8245,58.8718,41.0139,34.2255,28.5039,24.7977,21.7557,19.7295,17.8887,
89.2177,49.9553,35.1934,27.0368,23.3467,19.7989,17.4088,15.5286,13.9488,

5.8130,5.4876,4.9695,4.5062,4.4201,4.4372,5.4350,6.6218,6.3531,
4.9059,5.8558,5.6592,5.8678,6.4125,6.7680,7.6415,8.3864,9.2902,
5.2956,5.8046,6.7275,6.1726,6.2292,6.5979,6.9974,6.9019,7.5635,
10.2865,7.0141,7.1339,6.6838,8.1911,8.2427,8.5314,9.0284,12.9542,
11.3542,29.7284,22.7073,20.0825,17.2011,16.6594,15.3512,14.9623,15.9691,
4.3554,4.4621,3.6522,3.9973,4.5363,5.2087,11.2758,11.8503,12.3148,
